	copy_number
Oligotropha_carboxidovorans	1
Bifidobacterium_animalis	3.85
Rickettsia_peacockii	1
Sulfurihydrogenibium_azorense	2
Persephonella_marina	2
Dictyoglomus_turgidum	2
Thermomicrobium_roseum	2
Nautilia_profundicola	4
Methylocella_silvestris	2
Thauera_sp._MZ1T	4
Rippkaea_orientalis	2
Gloeothece_citriformis	3
Rhodobacter_capsulatus	4
Glaesserella_parasuis	6
Desulfatibacillum_aliphaticivorans	2
Chloroflexus_aggregans	3
Methanosphaerula_palustris	3
Thioalkalivibrio_sulfidiphilus	1
Pseudarthrobacter_chlorophenolicus	5
Cyanothece_sp._PCC_7425	2
Ruminiclostridium_cellulolyticum	8
Methylobacterium_nodulans	7
Desulfovibrio_desulfuricans	2.67
Halorubrum_lacusprofundi	3
Geobacter_daltonii	2
Wolbachia_sp._wRi	1
Acidovorax_ebreus	3
Caldicellulosiruptor_bescii	3
Thermococcus_gammatolerans	1
Sulfolobus_islandicus	1
Neorickettsia_risticii	1
Thermococcus_sibiricus	1
Acidobacterium_capsulatum	1
Blattabacterium_sp._(Blattella_germanica)	1
Burkholderia_glumae	5
Bartonella_grahamii	2
Brucella_microti	3
Rickettsia_prowazekii	1
Edwardsiella_ictaluri	8.2
Corynebacterium_aurimucosum	3
Aggregatibacter_aphrophilus	6
Rickettsia_africae	1
Teredinibacter_turnerae	3
Exiguobacterium_sp._AT1b	9
Tolumonas_auensis	8
Beutenbergia_cavernae	2
Dyadobacter_fermentans	4
Corynebacterium_kroppenstedtii	3
Micrococcus_luteus	2.11
Desulfomicrobium_baculatum	2
Actinosynnema_mirum	5
Acidimicrobium_ferrooxidans	2
Capnocytophaga_ochracea	4
Kosmotoga_olearia	2
Variovorax_paradoxus	2
Geobacillus_sp._WCH70	10
Brachybacterium_faecium	3
Maridesulfovibrio_salexigens	5
Zunongwangia_profunda	3
Dickeya_paradisiaca	7
Dickeya_chrysanthemi	7
Paenibacillus_sp._JDR-2	12
Pectobacterium_carotovorum	7
Geobacter_sp._M21	4
Methylotenera_mobilis	2
Methylovorus_glucosotrophus	2
Candidatus_Liberibacter_asiaticus	3
Hirschia_baltica	2
Pedobacter_heparinus	3
Cryptobacterium_curtum	3
Saccharomonospora_viridis	3
Slackia_heliotrinireducens	2
Leptotrichia_buccalis	5
Kytococcus_sedentarius	2
Halorhabdus_utahensis	1
Halomicrobium_mukohataei	3
Methanocaldococcus_fervens	2
Chitinophaga_pinensis	3.25
Catenulispora_acidiphila	3
Jonesia_denitrificans	5
Kangiella_koreensis	2
Anaerococcus_prevotii	4
Robiginitalea_biformata	2
Candidatus_Accumulibacter_phosphatis	2
Methanobrevibacter_ruminantium	2
Desulfofarcimen_acetoxidans	10
Lancefieldella_parvula	1
Eggerthella_lenta	3
Alicyclobacillus_acidocaldarius	6
Desulfohalobium_retbaense	2
Kribbella_flavida	2
Nakamurella_multipartita	2
Thermomonospora_curvata	4
Sebaldella_termitidis	4
Meiothermus_ruber	2
Bifidobacterium_dentium	4
Candidatus_Puniceispirillum_marinum	1
Anaplasma_centrale	1
Stackebrandtia_nassauensis	2
Streptobacillus_moniliformis	5
Ammonifex_degensii	2
Methanocaldococcus_vulcanius	2
Pectobacterium_parmentieri	7
Fibrobacter_succinogenes	3
Paenibacillus_sp._Y412MC10	8
Geobacillus_sp._Y412MC61	8
Nitrosococcus_halophilus	2
Halothiobacillus_neapolitanus	2
Gordonia_bronchialis	2
Haliangium_ochraceum	2
Vibrio_antiquarius	11
Rhodothermus_marinus	1
Streptosporangium_roseum	6
Sulfurospirillum_deleyianum	3
Thermanaerovibrio_acidaminovorans	3
Sanguibacter_keddieii	4
Veillonella_parvula	4
Xylanimonas_cellulosilytica	3
Sphaerobacter_thermophilus	2
Thermobaculum_terrenum	2
Dickeya_zeae	7
Staphylococcus_lugdunensis	5.79
Thermotoga_naphthophila	1
Candidatus_Atelocyanobacterium_thalassa	2
Pirellula_staleyi	1
Gardnerella_vaginalis	2
Mageeibacillus_indolicus	2
Conexibacter_woesei	1
Archaeoglobus_profundus	1
Acidaminococcus_fermentans	6
Haloterrigena_turkmenica	3
Geodermatophilus_obscurus	3
Mycoplasma_gallisepticum	2.06
Pantoea_ananatis	7
Allochromatium_vinosum	3
Ferroglobus_placidus	1
Methanocaldococcus_sp._FS406-22	2
Thioalkalivibrio_sp._K90mix	1
Enterobacter_cloacae	7.73
Thermocrinis_albus	1
Natrialba_magadii	3
Thermoanaerobacter_italicus	4
Aciduliprofundum_boonei	1
Haloferax_volcanii	2
Sideroxydans_lithotrophicus	2
Denitrovibrio_acetiphilus	2
Bacillus_megaterium	12.89
Mycoplasma_crocodyli	2
Methanohalophilus_mahii	3
Aminobacterium_colombiense	3
Coraliomargarita_akajimensis	2
Prevotella_ruminicola	4
Desulfotalea_psychrophila	7
Aromatoleum_aromaticum	4
Ehrlichia_ruminantium	1
Chlamydia_abortus	1
Natronomonas_pharaonis	1
Lactobacillus_sakei	6.85
Pseudoalteromonas_translucida	9
Pseudomonas_entomophila	7
Bradyrhizobium_sp._ORS_278	2
Erwinia_tasmaniensis	7
Candidatus_Phytoplasma_mali	2
Escherichia_fergusonii	7
Leuconostoc_citreum	4
Mycobacterium_liflandii	1
Citrobacter_rodentium	7
Listeria_seeligeri	6
Streptococcus_mitis	3.86
Streptococcus_gallolyticus	6
Erwinia_amylovora	7
Xenorhabdus_bovienii	7
Erwinia_pyrifoliae	7
Mycoplasma_genitalium	1
Mycoplasma_pneumoniae	1
Bartonella_quintana	2
Bartonella_henselae	2
Chromohalobacter_salexigens	5
Lawsonia_intracellularis	2
Frankia_alni	2
Listeria_welshimeri	6
Gramella_forsetii	3
Azoarcus_olearius	4
Saccharopolyspora_erythraea	4
Methanocella_arvoryzae	3
Clavibacter_michiganensis	2
Mycoplasma_agalactiae	2
Flavobacterium_psychrophilum	4.46
Sorangium_cellulosum	4
Bordetella_petrii	3
Corynebacterium_urealyticum	3
Proteus_mirabilis	6.79
Bordetella_avium	3
Mycoplasma_hominis	1.94
Xanthomonas_albilineans	2
Sphingobium_japonicum	3
Streptomyces_scabiei	6
Shewanella_violacea	14
Vibrio_atlanticus	8
Methanocaldococcus_jannaschii	2
Propionibacterium_freudenreichii	2
